title,year,genre,director,rating_imdb,rating_rt,box_office_millions,budget_millions,runtime_min,language
The Shawshank Redemption,1994,Drama,Frank Darabont,9.3,91,58.3,25.0,142,English
The Dark Knight,2008,Action,Christopher Nolan,9.0,94,1006.0,185.0,152,English
Inception,2010,Sci-Fi,Christopher Nolan,8.8,87,836.8,160.0,148,English
Pulp Fiction,1994,Crime,Quentin Tarantino,8.9,92,213.9,8.5,154,English
Forrest Gump,1994,Drama,Robert Zemeckis,8.8,71,678.2,55.0,142,English
The Matrix,1999,Sci-Fi,Lana Wachowski,8.7,88,466.4,63.0,136,English
Goodfellas,1990,Crime,Martin Scorsese,8.7,96,46.8,25.0,146,English
Spirited Away,2001,Animation,Hayao Miyazaki,8.6,97,395.6,19.0,125,Japanese
Parasite,2019,Thriller,Bong Joon-ho,8.5,99,266.1,11.4,132,Korean
Interstellar,2014,Sci-Fi,Christopher Nolan,8.7,73,701.8,165.0,169,English
The Godfather,1972,Crime,Francis Ford Coppola,9.2,97,287.0,6.0,175,English
Fight Club,1999,Drama,David Fincher,8.8,79,101.2,63.0,139,English
The Lord of the Rings: The Return of the King,2003,Fantasy,Peter Jackson,9.0,93,1146.0,94.0,201,English
Whiplash,2014,Drama,Damien Chazelle,8.5,97,49.0,3.3,107,English
The Grand Budapest Hotel,2014,Comedy,Wes Anderson,8.1,92,174.8,25.0,99,English
Mad Max: Fury Road,2015,Action,George Miller,8.1,97,375.6,150.0,120,English
Get Out,2017,Horror,Jordan Peele,7.7,98,255.5,4.5,104,English
Everything Everywhere All at Once,2022,Sci-Fi,Daniel Kwan,7.8,93,141.2,25.0,139,English
Coco,2017,Animation,Lee Unkrich,8.4,97,807.8,175.0,105,English
The Social Network,2010,Drama,David Fincher,7.8,96,224.9,40.0,120,English
Dune,2021,Sci-Fi,Denis Villeneuve,8.0,83,407.6,165.0,155,English
La La Land,2016,Musical,Damien Chazelle,8.0,91,446.1,30.0,128,English
Joker,2019,Drama,Todd Phillips,7.7,68,1074.3,55.0,122,English
Avengers: Endgame,2019,Action,Anthony Russo,8.4,94,2797.5,356.0,181,English
Spider-Man: Into the Spider-Verse,2018,Animation,Peter Ramsey,8.4,97,375.5,90.0,117,English
