date,location,product,category,size,quantity,unit_price,revenue
2025-01-03,Downtown,Latte,Coffee,Large,45,5.50,247.50
2025-01-03,Downtown,Croissant,Pastry,Regular,30,3.75,112.50
2025-01-03,Downtown,Cold Brew,Coffee,Medium,25,4.50,112.50
2025-01-03,University,Americano,Coffee,Medium,60,3.50,210.00
2025-01-03,University,Muffin,Pastry,Regular,40,3.25,130.00
2025-01-03,Airport,Espresso,Coffee,Small,35,3.00,105.00
2025-01-03,Airport,Latte,Coffee,Large,50,6.00,300.00
2025-01-10,Downtown,Cappuccino,Coffee,Medium,38,4.75,180.50
2025-01-10,Downtown,Scone,Pastry,Regular,22,3.50,77.00
2025-01-10,University,Latte,Coffee,Large,55,5.50,302.50
2025-01-10,University,Iced Tea,Tea,Large,30,4.00,120.00
2025-01-10,Airport,Mocha,Coffee,Large,42,5.75,241.50
2025-01-10,Airport,Bagel,Pastry,Regular,28,3.25,91.00
2025-01-17,Downtown,Cold Brew,Coffee,Large,50,5.00,250.00
2025-01-17,Downtown,Matcha Latte,Tea,Medium,20,5.25,105.00
2025-01-17,University,Drip Coffee,Coffee,Small,80,2.50,200.00
2025-01-17,University,Cookie,Pastry,Regular,35,2.75,96.25
2025-01-17,Airport,Latte,Coffee,Large,48,6.00,288.00
2025-01-17,Airport,Chai Latte,Tea,Medium,25,4.75,118.75
2025-01-24,Downtown,Espresso,Coffee,Small,42,3.00,126.00
2025-01-24,Downtown,Latte,Coffee,Large,52,5.50,286.00
2025-01-24,University,Mocha,Coffee,Large,35,5.75,201.25
2025-01-24,University,Brownie,Pastry,Regular,28,3.50,98.00
2025-01-24,Airport,Americano,Coffee,Medium,38,4.00,152.00
2025-01-24,Airport,Croissant,Pastry,Regular,45,4.00,180.00
2025-02-07,Downtown,Latte,Coffee,Large,48,5.50,264.00
2025-02-07,Downtown,Hot Chocolate,Other,Medium,30,4.50,135.00
2025-02-07,University,Cold Brew,Coffee,Medium,20,4.50,90.00
2025-02-07,University,Americano,Coffee,Medium,55,3.50,192.50
2025-02-07,Airport,Cappuccino,Coffee,Medium,40,5.25,210.00
2025-02-07,Airport,Muffin,Pastry,Regular,32,3.50,112.00
2025-02-14,Downtown,Mocha,Coffee,Large,55,5.75,316.25
2025-02-14,Downtown,Red Velvet Cake,Pastry,Regular,40,4.50,180.00
2025-02-14,University,Latte,Coffee,Large,65,5.50,357.50
2025-02-14,University,Cookie,Pastry,Regular,50,2.75,137.50
2025-02-14,Airport,Espresso,Coffee,Small,30,3.00,90.00
2025-02-14,Airport,Latte,Coffee,Large,58,6.00,348.00
2025-02-21,Downtown,Drip Coffee,Coffee,Small,70,2.50,175.00
2025-02-21,Downtown,Scone,Pastry,Regular,25,3.50,87.50
2025-02-21,University,Matcha Latte,Tea,Medium,28,5.25,147.00
2025-02-21,University,Americano,Coffee,Medium,50,3.50,175.00
2025-02-21,Airport,Cold Brew,Coffee,Large,35,5.00,175.00
2025-02-21,Airport,Bagel,Pastry,Regular,30,3.25,97.50
